1.248052, -0.929846, 0.000000, 0.000000, 0.000000, 0.000000 
1.308415, -0.922741, 0.108366, 0.768121, 0.763615, 0.083075 
1.373190, -0.916232, 0.093742, 1.089389, 1.084606, 0.101972 
1.434240, -0.910829, 0.080681, 1.324327, 1.320019, 0.106732 
1.489523, -0.906732, 0.066954, 1.509341, 1.505959, 0.100982 
1.544238, -0.903293, 0.056730, 1.669287, 1.666602, 0.094647 
1.597934, -0.900481, 0.046463, 1.812486, 1.810530, 0.084182 
1.650748, -0.898321, 0.031638, 1.948695, 1.947720, 0.061643 
1.710845, -0.896763, 0.020579, 2.082112, 2.081671, 0.042845 
1.764978, -0.895854, 0.008795, 2.205066, 2.204980, 0.019393 
1.821235, -0.895671, -0.003290, 2.129356, 2.129344, -0.007005 
1.874105, -0.896056, -0.013483, 1.861436, 1.861267, -0.025097 
1.933856, -0.897013, -0.022535, 1.527892, 1.527504, -0.034428 
1.992281, -0.898485, -0.037560, 1.084513, 1.083748, -0.040725 
2.044241, -0.900307, -0.065821, 0.435626, 0.434683, -0.028653 
2.064500, -0.899671, 2.722359, 0.317016, -0.289563, 0.129045 
2.029596, -0.885651, 2.651558, 0.533248, -0.470493, 0.250977 
2.063838, -0.890293, 3.034350, 0.245298, -0.243889, 0.026256 
2.085974, -0.897201, -1.557527, 0.187713, 0.002491, -0.187696 
2.120880, -0.912997, -1.119020, 0.345287, 0.150740, -0.310645 
2.142633, -0.924748, -1.095628, 0.474966, 0.217291, -0.422347 
2.160896, -0.935234, -1.138120, 0.602564, 0.252656, -0.547035 
2.189793, -0.955590, -1.162690, 0.752923, 0.298814, -0.691089 
2.221719, -0.980919, -1.151610, 0.902371, 0.367280, -0.824244 
2.253562, -1.008326, -1.177804, 1.060151, 0.405990, -0.979333 
2.284139, -1.038755, -1.213482, 1.205257, 0.421550, -1.129132 
2.309187, -1.066046, -1.254916, 1.346050, 0.418155, -1.279452 
2.339638, -1.103415, -1.278500, 1.481850, 0.426998, -1.418997 
2.368255, -1.141435, -1.301861, 1.619353, 0.430270, -1.561144 
2.396434, -1.182348, -1.326696, 1.747831, 0.422421, -1.696017 
2.420219, -1.220203, -1.362122, 1.878481, 0.389153, -1.837730 
2.447585, -1.268018, -1.384249, 2.006411, 0.372123, -1.971600 
2.473347, -1.316698, -1.400130, 2.127594, 0.361349, -2.096684 
2.495986, -1.362240, -1.417502, 2.243441, 0.342561, -2.217133 
2.520938, -1.416468, -1.442694, 2.371708, 0.302992, -2.352275 
2.545617, -1.475637, -1.465481, 2.496035, 0.262385, -2.482206 
2.562635, -1.520217, -1.489103, 2.599237, 0.212105, -2.590569 
2.578645, -1.565688, -1.517899, 2.702929, 0.142911, -2.699148 
2.596465, -1.622533, -1.532380, 2.805504, 0.107751, -2.803434 
2.612468, -1.675976, -1.540086, 2.899292, 0.089025, -2.897925 
2.626343, -1.725714, -1.550087, 2.986595, 0.061845, -2.985955 
2.640058, -1.777696, -1.568239, 3.081407, 0.007880, -3.081397 
2.653676, -1.836084, -1.585737, 3.179788, -0.047508, -3.179433 
2.665978, -1.893078, -1.599332, 3.272050, -0.093359, -3.270718 
2.676107, -1.945433, -1.611078, 3.356542, -0.135169, -3.353820 
2.685994, -1.999530, -1.620061, 3.436094, -0.169208, -3.431925 
2.694345, -2.051051, -1.637279, 3.520432, -0.233874, -3.512655 
2.702431, -2.107419, -1.650087, 3.603903, -0.285457, -3.592580 
2.710080, -2.167768, -1.663304, 3.691165, -0.340975, -3.675382 
2.716607, -2.227624, -1.673652, 3.773627, -0.387456, -3.753684 
2.722014, -2.283596, -1.686576, 3.854115, -0.445232, -3.828312 
